V_u, V_v, V_w, (int32_t)V_u_f, (int32_t)V_v_f, (int32_t)V_w_f, V_w-V_w_f 
-28732, 18631, 10100, -28822, 18559, 10263, -163.147461 
-1694, 593, 1099, -1695, 587, 1108, -9.556885 
-10565, 15978, -5414, -10652, 16001, -5349, -64.508301 
-18319, 22312, -3995, -18438, 22327, -3889, -105.943848 
-30829, 26751, 4076, -30969, 26720, 4249, -173.259277 
-18416, 21988, -3574, -18533, 22004, -3471, -102.919678 
-18346, 9964, 8380, -18397, 9917, 8479, -99.783203 
-23289, 3374, 19913, -23302, 3264, 20038, -125.453125 
-24763, 9606, 15156, -24813, 9524, 15288, -132.588867 
-28348, 23598, 4750, -28473, 23571, 4901, -151.446777 
-23792, 10923, 12868, -23851, 10858, 12992, -124.965820 
-9986, 6836, 3148, -10022, 6820, 3201, -53.067383 
-24626, 15287, 9337, -24707, 15241, 9466, -129.356445 
-28312, 21841, 6469, -28429, 21815, 6613, -144.687988 
-40274, 27926, 12347, -40425, 27873, 12552, -205.706055 
-20477, 5991, 14484, -20514, 5923, 14590, -106.760742 
-37293, 28193, 9098, -37446, 28162, 9283, -185.777344 
-31201, 23325, 7875, -31327, 23297, 8030, -155.534668 
-10475, 2787, 7687, -10493, 2752, 7741, -54.250977 
-17312, 6542, 10768, -17351, 6494, 10856, -88.733398 
-21626, 5788, 15835, -21666, 5721, 15944, -109.575195 
-21281, 24737, -3459, -21407, 24771, -3364, -94.664307 
-13319, 16661, -3343, -13403, 16688, -3284, -58.134033 
-9161, 6350, 2810, -9196, 6343, 2852, -42.567139 
-36439, 29305, 7133, -36596, 29298, 7297, -164.655273 
-13179, 10579, 2599, -13235, 10578, 2657, -58.238770 
-18583, 10141, 8440, -18642, 10115, 8526, -86.395508 
-30243, 26347, 3894, -30381, 26355, 4025, -131.796631 
-12142, -36, 12177, -12153, -84, 12238, -61.720703 
-2075, 1564, 510, -2083, 1564, 519, -9.097717 
-22865, 21046, 1817, -22972, 21064, 1908, -91.107178 
-25548, -2009, 27555, -25568, -2116, 27685, -130.384766 
-29434, 27476, 1957, -29573, 27500, 2072, -115.870605 
-26544, 25308, 1234, -26669, 25335, 1334, -100.126099 
-22928, 25418, -2492, -23049, 25459, -2410, -81.650391 
-12349, 15339, -2991, -12418, 15370, -2951, -39.139404 
-13752, 11394, 2356, -13810, 11402, 2407, -51.968262 
-36241, 24874, 11365, -36376, 24869, 11507, -142.137695 
-12797, 542, 12253, -12816, 502, 12313, -60.841797 
-36014, 17127, 18885, -36121, 17089, 19031, -146.574219 
-27436, 24061, 3375, -27552, 24086, 3466, -91.520752 
-14332, 16111, -1780, -14404, 16141, -1737, -42.953003 
-20397, 22168, -1773, -20494, 22208, -1714, -58.791504 
-23612, 27011, -3401, -23728, 27063, -3334, -66.122070 
-28280, 4147, 24131, -28335, 4082, 24253, -122.214844 
-22037, 14853, 7183, -22114, 14857, 7256, -73.622559 
-20269, 11041, 9226, -20332, 11034, 9298, -72.180664 
-23976, 8576, 15399, -24038, 8550, 15488, -89.268555 
-37484, 14553, 22929, -37583, 14517, 23066, -137.320312 
-27075, 20419, 6655, -27173, 20436, 6737, -82.393555 
-40404, 14186, 26216, -40506, 14146, 26360, -144.087891 
-17082, -548, 17628, -17108, -591, 17700, -72.136719 
-19387, 9630, 9756, -19442, 9624, 9817, -61.986328 
-29791, 2777, 27012, -29848, 2720, 27127, -115.775391 
-14527, -2413, 16939, -14546, -2455, 17002, -63.089844 
-9392, 4492, 4898, -9417, 4489, 4927, -29.651367 
-37406, 14293, 23112, -37503, 14269, 23233, -121.376953 
-7709, -4344, 12051, -7713, -4375, 12088, -37.385742 
-41921, 15481, 26440, -42026, 15456, 26569, -129.585938 
-37528, 17972, 19555, -37630, 17966, 19663, -108.851562 
-3937, 1501, 2435, -3946, 1499, 2446, -11.678467 
-22319, -5823, 28140, -22348, -5882, 28230, -90.976562 
-33518, 14398, 19118, -33601, 14393, 19208, -90.328125 
-10743, 3213, 7528, -10766, 3207, 7559, -31.373535 
-12891, -325, 13214, -12912, -346, 13259, -45.333008 
-15371, 1688, 13682, -15400, 1671, 13729, -47.635742 
-30200, 22602, 7596, -30287, 22632, 7655, -59.173340 
-15295, 11186, 4108, -15336, 11200, 4136, -28.850098 
-17214, -13130, 30342, -17225, -13193, 30419, -77.412109 
-30876, 11843, 19032, -30946, 11838, 19107, -75.367188 
-21881, -4525, 26404, -21912, -4564, 26477, -73.080078 
-35268, 10451, 24816, -35341, 10438, 24902, -86.976562 
