I_d, I_q, I_d_f, I_q_f, errId, errIq 
166, -1347, 158.421509, -1347.385376, 7.578491, 0.385376 
166, -1349, 158.577209, -1348.709473, 7.422791, -0.290527 
133, -1354, 125.423477, -1353.534668, 7.576523, -0.465332 
133, -1355, 125.546501, -1354.862305, 7.453499, -0.137695 
133, -1355, 125.608017, -1355.526123, 7.391983, 0.526123 
100, -1359, 92.263260, -1359.539551, 7.736740, 0.539551 
100, -1361, 92.308395, -1360.204712, 7.691605, -0.795288 
66, -1363, 58.797272, -1362.732178, 7.202728, -0.267822 
66, -1363, 58.826012, -1363.398193, 7.173988, 0.398193 
66, -1363, 58.826012, -1363.398193, 7.173988, 0.398193 
33, -1365, 25.217468, -1364.433594, 7.782532, -0.566406 
33, -1365, 25.217468, -1364.433594, 7.782532, -0.566406 
0, -1365, -8.406382, -1364.640869, 8.406382, -0.359131 
0, -1365, -8.406382, -1364.640869, 8.406382, -0.359131 
0, -1365, -8.406382, -1364.640869, 8.406382, -0.359131 
-35, -1363, -42.004436, -1363.353149, 7.004436, 0.353149 
-35, -1363, -41.983906, -1362.686768, 6.983906, -0.313232 
-69, -1361, -75.507538, -1360.572998, 6.507538, -0.427002 
-69, -1359, -75.470596, -1359.907471, 6.470596, 0.907471 
-69, -1358, -75.396713, -1358.576172, 6.396713, 0.576172 
-102, -1355, -108.738884, -1354.977051, 6.738884, -0.022949 
-102, -1354, -108.632225, -1353.648071, 6.632225, -0.351929 
-135, -1349, -141.810349, -1349.234741, 6.810349, 0.234741 
-135, -1347, -141.670975, -1347.908691, 6.670975, 0.908691 
-134, -1346, -141.461914, -1345.919678, 7.461914, -0.080322 
-167, -1341, -174.407028, -1340.703613, 7.407028, -0.296387 
-167, -1339, -174.149033, -1338.720337, 7.149033, -0.279663 
-199, -1333, -206.772079, -1332.047119, 7.772079, -0.952881 
-199, -1330, -206.363037, -1329.411865, 7.363037, -0.588135 
-231, -1322, -238.698364, -1321.956055, 7.698364, -0.043945 
-231, -1319, -238.224518, -1319.331787, 7.224518, 0.331787 
-231, -1317, -237.750671, -1316.707520, 6.750671, -0.292480 
-263, -1307, -269.580322, -1307.838501, 6.580322, 0.838501 
-262, -1305, -268.907410, -1304.573853, 6.907410, -0.426147 
-294, -1295, -300.364624, -1294.954956, 6.364624, -0.045044 
-293, -1291, -299.611481, -1291.707886, 6.611481, 0.707886 
-293, -1289, -298.858307, -1288.460693, 5.858307, -0.539307 
-323, -1278, -329.679016, -1277.478882, 6.679016, -0.521118 
-322, -1274, -328.846100, -1274.251221, 6.846100, 0.251221 
-353, -1262, -359.045959, -1261.915283, 6.045959, -0.084717 
-351, -1258, -357.951294, -1258.067871, 6.951294, 0.067871 
-350, -1255, -357.039124, -1254.861816, 7.039124, -0.138184 
-381, -1241, -386.460052, -1241.228760, 5.460052, 0.228760 
-379, -1238, -385.270935, -1237.409546, 6.270935, -0.590454 
-409, -1223, -414.357635, -1223.753174, 5.357635, 0.753174 
-407, -1219, -412.861023, -1219.333008, 5.861023, 0.333008 
-405, -1215, -411.364349, -1214.912842, 6.364349, -0.087158 
-434, -1201, -439.566742, -1200.027100, 5.566742, -0.972900 
-431, -1195, -437.732361, -1195.019165, 6.732361, 0.019165 
-459, -1179, -465.329163, -1179.530762, 6.329163, 0.530762 
-458, -1174, -463.371948, -1174.569580, 5.371948, 0.569580 
-455, -1170, -461.414734, -1169.608398, 6.414734, -0.391602 
-482, -1153, -488.012024, -1152.973633, 6.012024, -0.026367 
-481, -1149, -485.933167, -1148.062256, 4.933167, -0.937744 
-506, -1131, -511.871765, -1130.882812, 5.871765, -0.117188 
-503, -1126, -509.397644, -1125.416626, 6.397644, -0.583374 
-502, -1119, -506.923462, -1119.950439, 4.923462, 0.950439 
